"Rank","Title","Total.Gross.Million","Release.month","Release.weekday","Release.day","Theaters.Count","Distributor"
1,"Barbie",594.25,"Jul","Fri",21,4337,"Warner Bros."
2,"The Super Mario Bros. Movie",574.76,"Apr","Wed",5,4371,"Universal Pictures"
3,"Spider-Man: Across the Spider-Verse",381.18,"Jun","Fri",2,4332,"Columbia Pictures"
4,"Guardians of the Galaxy Vol. 3",359,"May","Fri",5,4450,"Walt Disney Studios Motion Pictures"
5,"Oppenheimer",300.14,"Jul","Fri",21,3761,"Universal Pictures"
6,"The Little Mermaid",297.9,"May","Fri",26,4320,"Walt Disney Studios Motion Pictures"
7,"Avatar: The Way of Water",684.08,"Dec","Sat",16,4340,"20th Century Studios"
8,"Ant-Man and the Wasp: Quantumania",214.5,"Feb","Fri",17,4345,"Walt Disney Studios Motion Pictures"
9,"John Wick: Chapter 4",187.13,"Mar","Fri",24,3855,"Lionsgate"
10,"Sound of Freedom",180.59,"Jul","Tue",4,3411,"Angel Studios"
11,"Indiana Jones and the Dial of Destiny",174.12,"Jun","Fri",30,4600,"Walt Disney Studios Motion Pictures"
12,"Mission: Impossible - Dead Reckoning Part One",168.25,"Jul","Wed",12,4327,"Paramount Pictures"
13,"Transformers: Rise of the Beasts",157.07,"Jun","Fri",9,3680,"Paramount Pictures"
14,"Creed III",156.25,"Mar","Fri",3,4007,"United Artists Releasing"
15,"Elemental",151.69,"Jun","Fri",16,4035,"Walt Disney Studios Motion Pictures"
16,"Fast X",145.96,"May","Fri",19,4088,"Universal Pictures"
17,"Puss in Boots: The Last Wish",185.54,"Dec","Thu",21,4121,"Universal Pictures"
18,"Scream VI",108.16,"Mar","Fri",10,3676,"Paramount Pictures"
19,"The Flash",108.13,"Jun","Fri",16,4256,"Warner Bros."
20,"Teenage Mutant Ninja Turtles: Mutant Mayhem",99.85,"Aug","Wed",2,3950,"Paramount Pictures"
21,"M3GAN",95.04,"Jan","Fri",6,3628,"Universal Pictures"
22,"Dungeons & Dragons: Honor Among Thieves",93.28,"Mar","Fri",31,3856,"Paramount Pictures"
23,"Insidious: The Red Door",82.04,"Jul","Fri",7,3188,"Screen Gems"
